# blast_room probes — 1 m cube with a 0.25x0.25 m vent on x_max (centered).
# Charge at room center (0.5, 0.5, 0.5). Probes sit one cell off each
# inner wall (or vent face) so they're inside air cells.
# name,        x,     y,     z
wall_back,   0.05,  0.500, 0.500
wall_top,    0.500, 0.500, 0.95
wall_side,   0.500, 0.95,  0.500
near_vent,   0.95,  0.500, 0.500
