# Free-field TNT blast probes along +x from the charge centre at (0.3,0.3,0.3).
# For 0.001 kg TNT, scaled distance Z = R / m_TNT^{1/3} = R / 0.1.
# So R = 0.1 m → Z = 1.0  m/kg^{1/3}; R = 0.2 m → Z = 2.0 m/kg^{1/3}.
# name, x, y, z
Z1p0,  0.40, 0.30, 0.30
Z2p0,  0.50, 0.30, 0.30
